dataset,pair_id,group_id,piece_a_id,piece_b_id,event_index,event_id,gt_a_s,gt_b_s,pred_b_s,signed_error_ms,abs_error_ms,error_sign,gt_b_frame,pred_b_frame,off_50ms,off_100ms,off_200ms
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,40,40,106.720068027,103.960816327,103.32278911543537,-638.0272115646335,638.0272115646335,early,20839,20712,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,17,18,69.552244898,68.06,68.63433106580045,574.3310658004503,574.3310658004503,late,13643,13758,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,59,60,146.11138322,154.62707483,155.14086167804987,513.7868480498753,513.7868480498753,late,30996,31099,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,49,50,201.706598639,192.155396825,192.66714285668706,511.74603168706767,511.74603168706767,late,38518,38621,True,True,True
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,39,39,103.879727891,100.580498866,101.08027210884353,499.7732428435313,499.7732428435313,late,20162,20262,True,True,True
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,60,61,183.279206349,204.429977324,204.88510204060998,455.124716609987,455.124716609987,late,40979,41070,True,True,True
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,25,25,42.568095238,42.16106576,41.7150340135102,-446.03174648980115,446.03174648980115,early,8451,8362,True,True,True
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,61,61.999,186.340136054,207.806893424,207.3736961451247,-433.1972788752978,433.1972788752978,early,41656,41569,True,True,True
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,49,49,130.793038549,127.709297052,128.11911564650563,409.8185945056372,409.8185945056372,late,25600,25682,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,27,28,65.629909297,71.280793651,71.64327664391269,362.4829929126889,362.4829929126889,late,14289,14361,True,True,True
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,24,25,29.137959184,28.416054422,28.060408163591838,-355.64625840816075,355.64625840816075,early,5696,5625,True,True,True
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,52,51.666,95.898412698,95.004444444,95.35328798185941,348.843537859409,348.843537859409,late,19044,19114,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,31,32,76.941337868,81.799455782,81.45986394557823,-339.5918364217607,339.5918364217607,early,16397,16329,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,70,71,169.761315193,179.793537415,179.4603401364388,-333.19727856121517,333.19727856121517,early,36040,35974,True,True,True
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,20,21,24.182131519,23.741269841,23.41886621287755,-322.4036281224514,322.4036281224514,early,4759,4694,True,True,True
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,4,5,5.305102041,5.280453515,5.577324263038548,296.87074803854864,296.87074803854864,late,1058,1118,True,True,True
swd,D911-18_HU33_SC06,D911-18,Schubert_D911-18_HU33,Schubert_D911-18_SC06,19,19.75,42.69553288,43.151020408,42.865147392471656,-285.8730155283453,285.8730155283453,early,8650,8593,True,True,True
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,26,27,71.692018141,85.798208617,86.07931972830158,281.11111130158406,281.11111130158406,late,17199,17255,True,True,True
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,53,54,157.129433107,175.676054422,175.95664399135376,280.589569353765,280.589569353765,late,35215,35271,True,True,True
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,5,5,7.153333333,7.227709751,7.502539682206349,274.82993120634893,274.82993120634893,late,1449,1504,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,41,42,170.651451247,161.364829932,161.6369387753447,272.10884334471075,272.10884334471075,late,32346,32401,True,True,True
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,46,47,134.54553288,150.857369615,151.12784580517007,270.47619017005786,270.47619017005786,late,30240,30294,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,44,45,109.449977324,117.058208617,116.79328798159638,-264.92063540362665,264.92063540362665,early,23465,23412,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,25,26,101.093854875,98.559569161,98.82401360515874,264.444444158741,264.444444158741,late,19757,19810,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,38,39,94.852222222,99.145714286,99.40907029478458,263.35600878458365,263.35600878458365,late,19874,19927,True,True,True
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,77,77,211.239818594,203.72138322,203.9814058956916,260.02267569160153,260.02267569160153,late,40837,40889,True,True,True
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,34,35,127.303673469,130.564557823,130.31383219954648,-250.72562345351912,250.72562345351912,early,26172,26122,True,True,True
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,9,9,14.628571429,14.031632653,14.27437641766213,242.74376466213,242.74376466213,late,2813,2861,True,True,True
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,24,24,40.81553288,40.116326531,39.87766439927438,-238.66213172561856,238.66213172561856,early,8042,7994,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,53,54,221.610045351,209.407732426,209.6322675732222,224.53514722221257,224.53514722221257,late,41977,42022,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,71,72,171.831088435,181.946802721,181.7236054418027,-223.1972791973078,223.1972791973078,early,36472,36427,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,51,52,209.603492063,200.125306122,200.34453514690026,219.22902490024399,219.22902490024399,late,40116,40160,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,20,21,80.826485261,78.977301587,79.1951927439932,217.89115699320405,217.89115699320405,late,15831,15875,True,True,True
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,47,47,87.56244898,86.800385488,87.00870748340137,208.32199540136287,208.32199540136287,late,17400,17441,True,True,True
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,25,26,93.70122449,96.861496599,97.05360544238096,192.10884338095013,192.10884338095013,late,19416,19455,True,True,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,55,56,232.649274376,217.323968254,217.508684806839,184.71655283900645,184.71655283900645,late,43564,43601,True,True,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,8,9,30.188027211,32.3461678,32.52272108855102,176.5532885510197,176.5532885510197,late,6484,6519,True,True,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,39,40,158.595102041,152.785600907,152.6186848074399,-166.91609956009756,166.91609956009756,early,30627,30593,True,True,False
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,23,24,27.688231293,27.140793651,26.974852608192744,-165.94104280725475,165.94104280725475,early,5440,5407,True,True,False
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,34,34,61.722335601,60.116984127,59.95136054431065,-165.6235826893493,165.6235826893493,early,12051,12018,True,True,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,41,42,157.427641723,158.308571429,158.465283446356,156.71201735599993,156.71201735599993,late,31734,31765,True,True,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,63,64,154.599614512,164.176553288,164.32397959065756,147.42630265754997,147.42630265754997,late,32910,32939,True,True,False
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,54,55,161.658412698,179.276961451,179.41804988620862,141.0884352086157,141.0884352086157,late,35937,35965,True,True,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,40,41,153.019795918,154.138684807,154.0025623579093,-136.12244909069204,136.12244909069204,early,30898,30871,True,True,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,68,69,164.998526077,174.924603175,175.05566893414286,131.06575914287077,131.06575914287077,late,35064,35091,True,True,False
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,17,17,29.152653061,28.051269841,27.92045351451474,-130.81632648525954,130.81632648525954,early,5623,5597,True,True,False
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,16,16,27.515646259,26.330544218,26.203628118410432,-126.91609958956818,126.91609958956818,early,5278,5253,True,True,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,41,42,102.004240363,108.790045351,108.66909297070974,-120.95238029026234,120.95238029026234,early,21807,21783,True,True,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,43,44,177.067981859,168.90244898,169.02086167800454,118.41269800453347,118.41269800453347,late,33857,33881,True,True,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,72,72,195.703514739,188.966961451,188.84909297029253,-117.86848070747169,117.86848070747169,early,37879,37856,True,True,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,22,23,53.639614512,58.85260771,58.967505668462586,114.89795846258488,114.89795846258488,late,11797,11820,True,True,False
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,46,47,54.592358277,52.33047619,52.21775510239683,-112.72108760316968,112.72108760316968,early,10490,10467,True,True,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,33,33,87.841088435,84.790907029,84.67827664361678,-112.63038538321268,112.63038538321268,early,16997,16974,True,True,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,37,38,92.303650794,96.721836735,96.8333560094195,111.51927441950704,111.51927441950704,late,19388,19411,True,True,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,6,7,18.208321995,24.51877551,24.409229024478456,-109.54648552154467,109.54648552154467,early,4915,4893,True,True,False
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,11,12,13.436394558,13.398684807,13.289795918367346,-108.888888632654,108.888888632654,early,2686,2664,True,True,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,0,0.75,0.371519274,0.743038549,0.6359183669705215,-107.12018202947849,107.12018202947849,early,149,127,True,True,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,53,54,131.051904762,139.1930839,139.08888888888887,-104.1950111111305,104.1950111111305,early,27902,27881,True,True,False
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,38,38,70.596099773,69.666825397,69.7679818591678,101.1564621678076,101.1564621678076,late,13965,13985,True,True,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,24,25,88.8669161,93.092403628,93.19319727891157,100.79365091156944,100.79365091156944,late,18661,18681,True,True,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,79,79,218.360453515,211.162267574,211.26158730184807,99.3197278480693,99.3197278480693,late,42328,42348,True,False,False
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,41,42,119.053945578,134.551315193,134.64944444224713,98.12924924713684,98.12924924713684,late,26971,26991,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,26,27,63.144535147,68.938888889,68.841587301195,-97.3015878049921,97.3015878049921,early,13819,13800,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,25,26,60.751564626,66.515510204,66.4186848074059,-96.82539659409883,96.82539659409883,early,13333,13314,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,23,24,56.009070295,61.457777778,61.36190476212018,-95.87301587981756,95.87301587981756,early,12319,12300,True,False,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,52,53,215.058163265,204.805487528,204.90124716522675,95.75963722676306,95.75963722676306,late,41054,41073,True,False,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,35,36,141.205963719,137.833197279,137.92841269859184,95.21541959185242,95.21541959185242,late,27629,27648,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,43,44,106.767981859,113.887936508,113.98158730117687,93.6507931768773,93.6507931768773,late,22829,22848,True,False,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,8,9,25.231791383,32.087482993,32.18099773220635,93.51473920634845,93.51473920634845,late,6432,6451,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,61,62,150.529433107,159.83122449,159.73850340178458,-92.72108821542702,92.72108821542702,early,32039,32020,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,58,59,142.891473923,151.902539683,151.81120181415648,-91.33786884351025,91.33786884351025,early,30450,30431,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,10,11,23.721156463,26.820544218,26.911541951358277,90.99773335827877,90.99773335827877,late,5376,5395,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,33,34,81.989024943,86.632653061,86.7232653058118,90.61224481179408,90.61224481179408,late,17366,17384,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,3,4,7.405782313,8.248480726,8.15907029485941,-89.41043114059077,89.41043114059077,early,1653,1636,True,False,False
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,13,14,16.304126984,15.740839002,15.83020408150567,89.36507950567041,89.36507950567041,late,3155,3173,True,False,False
swd,D911-18_HU33_SC06,D911-18,Schubert_D911-18_HU33,Schubert_D911-18_SC06,3,4,6.56569161,7.28122449,7.368866213174603,87.64172317460338,87.64172317460338,late,1460,1477,True,False,False
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,3,4,7.301746032,12.032811791,12.120022678022673,87.21088702267288,87.21088702267288,late,2412,2430,True,False,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,22,23,79.999274376,85.857437642,85.77029478353744,-87.1428584625562,87.1428584625562,early,17211,17193,True,False,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,7,8,21.776780045,28.342721088,28.426666666315192,83.94557831519123,83.94557831519123,late,5681,5698,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,64,65,156.615487528,166.245986395,166.162358276644,-83.62811835598905,83.62811835598905,early,33325,33308,True,False,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,54,55,225.041179138,212.927437642,212.84390022643535,-83.53741556464911,83.53741556464911,early,42682,42666,True,False,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,1,2,3.236938776,4.737188209,4.819467123365081,82.27891436508105,82.27891436508105,late,950,966,True,False,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,28,28,73.74276644,70.936961451,71.01895691619048,81.99546519047374,81.99546519047374,late,14220,14236,True,False,False
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,22,22,37.593106576,36.476780045,36.39582766443537,-80.95238056462506,80.95238056462506,early,7312,7296,True,False,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,35,36,130.979047619,134.215895692,134.2965079364603,80.61224446029769,80.61224446029769,late,26904,26920,True,False,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,13,14,41.798321995,51.042108844,51.122131518809525,80.02267480952696,80.02267480952696,late,10232,10248,True,False,False
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,21,21,35.979319728,34.839954649,34.760997732426304,-78.95691657369497,78.95691657369497,early,6984,6968,True,False,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,37,38,148.677823129,144.994693878,144.91637188183444,-78.32199616555613,78.32199616555613,early,29065,29049,True,False,False
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,37,37,66.95600907,65.107981859,65.03038548723356,-77.59637176644674,77.59637176644674,early,13051,13036,True,False,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,58,58,155.267868481,150.765487528,150.6882766442653,-77.21088373469343,77.21088373469343,early,30222,30206,True,False,False
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,32,33,89.687913832,106.03569161,105.95918367346938,-76.50793653061783,76.50793653061783,early,21255,21240,True,False,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,78,78,214.845464853,207.702040816,207.62687074869163,-75.17006730836329,75.17006730836329,early,41635,41620,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,32,33,79.484535147,84.189092971,84.11401360504989,-75.07936595010278,75.07936595010278,early,16876,16861,True,False,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,31,32,124.999659864,123.176712018,123.10396825402267,-72.74376397732851,72.74376397732851,early,24691,24677,True,False,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,44,44,117.516145125,114.729795918,114.80142857185373,71.63265385374018,71.63265385374018,late,22998,23012,True,False,False
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,39,39,73.618866213,72.976122449,72.90666666636282,-69.45578263717778,69.45578263717778,early,14628,14614,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,62,63,152.569365079,162.038730159,162.10768707446485,68.95691546483818,68.95691546483818,late,32481,32495,True,False,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,48,48,127.965170068,124.83047619,124.76244897956462,-68.02721043537474,68.02721043537474,early,25023,25009,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,14,15,33.409342404,37.057573696,36.991201814430845,-66.37188156915386,66.37188156915386,early,7428,7415,True,False,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,42,42,112.170090703,109.540272109,109.60591836739908,65.64625839908445,65.64625839908445,late,21958,21971,True,False,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,38,39,143.409546485,145.893900227,145.95875283420634,64.85260720634756,64.85260720634756,late,29245,29258,True,False,False
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,83,83,232.301768707,226.863197279,226.79927437593426,-63.92290306573045,63.92290306573045,early,45476,45463,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,67,68,162.742494331,172.571587302,172.63501133780272,63.42403580271139,63.42403580271139,late,34593,34605,True,False,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,4,5,14.182834467,17.233922902,17.29582766415873,61.9047621587292,61.9047621587292,late,3455,3467,True,False,False
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,4,4,5.570975057,5.419410431,5.481179138632653,61.76870763265274,61.76870763265274,late,1086,1099,True,False,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,32,33,127.803446712,126.435124717,126.49641723354195,61.292516541954,61.292516541954,late,25344,25357,True,False,False
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,18,18,30.812879819,29.726122449,29.665487528750564,-60.63492024943429,60.63492024943429,early,5959,5947,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,16,17,38.059569161,42.151473923,42.0909410430873,-60.5328799126994,60.5328799126994,early,8449,8437,True,False,False
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,24,25,96.256031746,94.394693878,94.45512471652155,60.43083852155462,60.43083852155462,late,18922,18934,True,False,False
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,23,24,84.367482993,89.456485261,89.5157823127279,59.29705172789568,59.29705172789568,late,17932,17944,True,False,False
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,56,57,137.792267574,146.117165533,146.05804988662132,-59.11564637867173,59.11564637867173,early,29290,29278,True,False,False
